Tweet,Sentiment,Sentiment_Expression
"""أنا أؤمن بأن الانسان ينطفئ جماله عند ابتعاد من يحب ، حتى بريق العيون يختفي فيصبح ذابلاً منطفئًا، يتحول ربيعه الى خريف."". @gbraniiat",negative,implicit
من الذاكره... @3FInQe . عندما اعتقد كريستيانو انه ثاني افضل لاعب في العالم بعد كاكا و ميسي ثالثاً ثم حدث العكس 😂😂😂😂😂😂 https://t.co/n3EZ0pX0X7,positive,explicit
لا نخلو من ضغوطات الحياة. فنحن نعيش على أرض أعدت للبلاء ولم يسلم منها حتى الأنبياء... توكل على الله دائماً وكن مطمئناً وواثقاً بالله.,neutral,none
"#مصطلحات_لبنانيه_حيرت_البشريه بتوصل عالبيت ، بنط واحد بقلك ""جيت؟"" , بتقعد لتتحدث معو بقلك ""شو في ما في؟""، بتقوم لتمشي بقلك ""ناسي شي؟"" 🤔",negative,explicit
"نصمت !! لتسير حياتنا على مً يرام فالناّس لم تعد كما كآنت . "" نقيه """,negative,explicit
"يرأس صاحب السمو الملكي الامير الدكتور حسام بن سعود بن عبدالعزيز أمير منطقة #الباحة غداً، جلسات مجلس المنطقة في دورت… https://t.co/E0ToOoWtvJ",neutral,none
@Yousef_MUFC اكثر ما يزعجنا بعد مستوانا خارج ارضنا . هو تمثيل كونتي بعد فوزه علينا,negative,explicit
"لا تستسلم للمصاعب والأزمات، بل تحدَّها بالإيمان والصبر ، فكل العظماء كافحوا وتحمّلوا المشاقّ حتى وصلوا بلاط المجد وجلسوا على النجوم",very_positive,explicit
الف الف مبروك للمنتخب السوري كسب احترام الجميع لعب بروح والعزيمه شكرا على كل شي قدمتوه على مدار التصفيات النهايه برغم الظروف #استراليا_سوريا,very_positive,explicit
شو حلو الشعور لما تحاول تدرس شي مش فاهمو بالصف و الدكتور ما خصو بشي اسمو شرح و تفهم كل شي لحالك انو بلا جميلتك دكتور 😌,positive,explicit
"قيل لحمدون بن أحمد رحمه الله:. ما بال كلام السلف أنفع من كلامنا ؟. قال: لأنهم تكلموا لعز الإسلام ، ونجاة النفوس ، ورض… https://t.co/9ujgGIVlN3",positive,explicit
�� كائنا من كان .. لن ينجو أي شخص دخل في قضية #فساد .. انتهى زمنك أيها المسؤول الفاسد المتلاعب بأنظمة ومقدرات الدولة… https://t.co/Pts8mxqwwW,very_negative,explicit
